p_initial,p_final,e_loss,x_sigma,dir_sigma,e_sigma
5.78096,5.63259,0.148348,9.08549,0.00606455,0.0090794
5.82103,5.67259,0.148417,9.02216,0.00602226,0.00908244
5.86138,5.71287,0.148487,8.95926,0.00598027,0.00908545
5.90201,5.75343,0.148557,8.89681,0.00593857,0.00908844
5.94292,5.79427,0.148627,8.8348,0.00589717,0.00909142
5.98412,5.8354,0.148696,8.77323,0.00585606,0.00909437
6.0256,5.87681,0.148766,8.7121,0.00581525,0.00909731
6.06736,5.9185,0.148836,8.65139,0.00577472,0.00910024
6.10942,5.96049,0.148905,8.59111,0.00573447,0.00910314
6.15177,6.00277,0.148975,8.53126,0.00569451,0.00910602
6.19441,6.04534,0.149044,8.47182,0.00565483,0.00910889
6.23735,6.08821,0.149114,8.41281,0.00561543,0.00911174
6.28058,6.13138,0.149183,8.35422,0.00557631,0.00911458
6.32412,6.17484,0.149253,8.29603,0.00553746,0.00911739
6.36796,6.21861,0.149323,8.23825,0.00549889,0.00912019
6.4121,6.26268,0.149392,8.18089,0.00546059,0.00912297
6.45654,6.30706,0.149461,8.12392,0.00542255,0.00912573
6.5013,6.35175,0.149531,8.06736,0.00538479,0.00912848
6.54636,6.39674,0.1496,8.01119,0.00534729,0.00913121
6.59174,6.44205,0.14967,7.95542,0.00531006,0.00913392
6.63743,6.48767,0.149739,7.90005,0.00527309,0.00913662
6.68344,6.53361,0.149809,7.84506,0.00523638,0.0091393
6.72977,6.57987,0.149878,7.79046,0.00519992,0.00914196
6.77642,6.62645,0.149947,7.73624,0.00516372,0.00914461
6.82339,6.67335,0.150017,7.6824,0.00512778,0.00914724
6.87068,6.72058,0.150086,7.62895,0.00509209,0.00914986
6.91831,6.76814,0.150155,7.57586,0.00505666,0.00915245
6.96627,6.81602,0.150224,7.52315,0.00502147,0.00915504
7.01455,6.86424,0.150294,7.47082,0.00498652,0.0091576
7.06318,6.9128,0.150363,7.41885,0.00495183,0.00916015
7.11214,6.96169,0.150432,7.36724,0.00491738,0.00916269
7.16143,7.01092,0.150501,7.316,0.00488317,0.00916521
7.21107,7.06049,0.15057,7.26511,0.0048492,0.00916771
7.26106,7.1104,0.15064,7.21459,0.00481547,0.0091702
7.31139,7.16067,0.150709,7.16442,0.00478197,0.00917267
7.36207,7.21128,0.150778,7.1146,0.00474871,0.00917513
7.4131,7.26224,0.150847,7.06513,0.00471569,0.00917757
7.46449,7.31356,0.150916,7.01601,0.00468289,0.00918
7.51623,7.36523,0.150985,6.96723,0.00465033,0.00918241
7.56833,7.41726,0.151054,6.9188,0.004618,0.00918481
7.62079,7.46965,0.151123,6.8707,0.00458589,0.00918719
7.67361,7.52241,0.151192,6.82295,0.00455401,0.00918956
7.72681,7.57553,0.151261,6.77552,0.00452235,0.00919191
7.78037,7.62902,0.15133,6.72844,0.00449091,0.00919425
7.8343,7.68288,0.151399,6.68168,0.0044597,0.00919658
7.8886,7.73712,0.151468,6.63525,0.0044287,0.00919889
7.94328,7.79173,0.151537,6.58914,0.00439792,0.00920118
7.99834,7.84672,0.151606,6.54336,0.00436736,0.00920346
8.05378,7.90207,0.151703,6.49791,0.00433702,0.00920566
8.10961,7.95779,0.151805,6.45278,0.00430689,0.00920784
8.16582,8.0139,0.151912,6.40797,0.00427698,0.00920999
8.22243,8.07041,0.152003,6.36346,0.00424726,0.00921217
8.27942,8.12732,0.152094,6.31927,0.00421776,0.00921433
8.33681,8.18461,0.152185,6.27539,0.00418847,0.00921648
8.3946,8.24231,0.152276,6.23181,0.00415938,0.00921862
8.45279,8.30041,0.152367,6.18854,0.00413049,0.00922074
8.51138,8.35891,0.152459,6.14557,0.00410181,0.00922285
8.57038,8.41782,0.152551,6.1029,0.00407332,0.00922495
8.62979,8.47713,0.152643,6.06054,0.00404504,0.00922703
8.6896,8.53686,0.152735,6.01846,0.00401696,0.0092291
8.74984,8.597,0.152827,5.97668,0.00398907,0.00923116
8.81049,8.65756,0.152919,5.9352,0.00396137,0.0092332
8.87156,8.71854,0.153012,5.894,0.00393387,0.00923524
8.93305,8.77994,0.153104,5.8531,0.00390657,0.00923726
8.99498,8.84177,0.153197,5.81248,0.00387945,0.00923926
9.05733,8.90403,0.15329,5.77214,0.00385252,0.00924126
9.12011,8.96671,0.153383,5.73208,0.00382578,0.00924324
9.18333,9.02984,0.153477,5.69231,0.00379923,0.00924521
9.24698,9.0934,0.15357,5.65281,0.00377287,0.00924717
9.31108,9.15741,0.153664,5.61359,0.00374669,0.00924911
9.37562,9.22185,0.153757,5.57464,0.00372069,0.00925105
9.44061,9.28675,0.153851,5.53597,0.00369487,0.00925297
9.50605,9.35209,0.153946,5.49757,0.00366923,0.00925488
9.57194,9.41789,0.15404,5.45943,0.00364378,0.00925677
9.63829,9.48415,0.154134,5.42156,0.0036185,0.00925866
9.7051,9.55086,0.154229,5.38395,0.00359339,0.00926053
9.77237,9.61804,0.154324,5.34661,0.00356847,0.0092624
9.84011,9.68568,0.154419,5.30953,0.00354371,0.00926424
9.90832,9.7538,0.154514,5.27271,0.00351913,0.00926609
9.977,9.82238,0.154609,5.23614,0.00349473,0.00926791
10.0462,9.89144,0.154705,5.19984,0.00347049,0.00926973
10.1158,9.96099,0.154801,5.16378,0.00344642,0.00927153
10.1859,10.031,0.154896,5.12797,0.00342252,0.00927333
10.2565,10.1015,0.154993,5.09242,0.00339879,0.00927511
10.3276,10.1725,0.155089,5.05711,0.00337522,0.00927688
10.3992,10.244,0.155185,5.02205,0.00335182,0.00927864
10.4713,10.316,0.155282,4.98724,0.00332858,0.00928039
10.5439,10.3885,0.155379,4.95267,0.0033055,0.00928212
10.617,10.4615,0.155476,4.91833,0.00328258,0.00928385
10.6905,10.535,0.155573,4.88424,0.00325983,0.00928557
10.7647,10.609,0.155671,4.85039,0.00323723,0.00928727
10.8393,10.6835,0.155768,4.81677,0.00321479,0.00928897
10.9144,10.7585,0.155866,4.78339,0.0031925,0.00929065
10.9901,10.8341,0.155964,4.75024,0.00317038,0.00929233
11.0662,10.9102,0.156063,4.71732,0.0031484,0.00929399
11.1429,10.9868,0.156161,4.68463,0.00312658,0.00929564
11.2202,11.0639,0.15626,4.65217,0.00310492,0.00929729
11.298,11.1416,0.156359,4.61993,0.0030834,0.00929892
11.3763,11.2198,0.156458,4.58792,0.00306203,0.00930054
11.4551,11.2986,0.156557,4.55614,0.00304081,0.00930215
11.5345,11.3779,0.156657,4.52457,0.00301974,0.00930375
11.6145,11.4577,0.156757,4.49322,0.00299882,0.00930534
11.695,11.5381,0.156857,4.4621,0.00297804,0.00930692
11.7761,11.6191,0.156957,4.43119,0.00295741,0.00930849
11.8577,11.7006,0.157057,4.40049,0.00293692,0.00931006
11.9399,11.7827,0.157158,4.37001,0.00291657,0.00931161
12.0226,11.8654,0.157259,4.33974,0.00289637,0.00931315
12.106,11.9486,0.15736,4.30968,0.00287631,0.00931468
12.1899,12.0324,0.157461,4.27984,0.00285638,0.00931621
12.2744,12.1168,0.157563,4.2502,0.0028366,0.00931772
12.3595,12.2018,0.157665,4.22076,0.00281695,0.00931922
12.4451,12.2874,0.157767,4.19153,0.00279744,0.00932072
