p_initial,total_mean,bethe,total_mode,landau_sigma
0.85776,0.00129222,0.00129107,0.00116214,9.706e-05
0.866297,0.00129404,0.00129288,0.00116377,9.70316e-05
0.874919,0.00129587,0.0012947,0.0011654,9.70037e-05
0.883626,0.0012977,0.00129652,0.00116705,9.69763e-05
0.892421,0.00129955,0.00129835,0.00116869,9.69495e-05
0.901303,0.00130139,0.00130019,0.00117035,9.69233e-05
0.910273,0.00130325,0.00130203,0.00117201,9.68975e-05
0.919333,0.0013051,0.00130387,0.00117367,9.68722e-05
0.928483,0.00130697,0.00130573,0.00117534,9.68475e-05
0.937724,0.00130884,0.00130758,0.00117701,9.68232e-05
0.947057,0.00131072,0.00130945,0.00117869,9.67994e-05
0.956482,0.0013126,0.00131132,0.00118038,9.6776e-05
0.966002,0.00131448,0.00131319,0.00118207,9.67532e-05
0.975616,0.00131638,0.00131507,0.00118376,9.67307e-05
0.985326,0.00131827,0.00131696,0.00118546,9.67087e-05
0.995133,0.00132018,0.00131885,0.00118716,9.66872e-05
1.00504,0.00132208,0.00132074,0.00118887,9.6666e-05
1.01504,0.001324,0.00132264,0.00119058,9.66453e-05
1.02514,0.00132591,0.00132454,0.00119229,9.6625e-05
1.03535,0.00132784,0.00132645,0.00119401,9.66051e-05
1.04565,0.00132976,0.00132836,0.00119574,9.65855e-05
1.05606,0.00133169,0.00133028,0.00119746,9.65664e-05
1.06657,0.00132026,0.00131884,0.00118717,9.65476e-05
1.07718,0.00132108,0.00131964,0.00118789,9.65292e-05
1.0879,0.0013219,0.00132045,0.00118862,9.65112e-05
1.09873,0.00132273,0.00132126,0.00118935,9.64935e-05
1.10967,0.00132356,0.00132207,0.00119009,9.64761e-05
1.12071,0.00132439,0.00132289,0.00119083,9.64592e-05
1.13186,0.00132523,0.00132372,0.00119157,9.64425e-05
1.14313,0.00132607,0.00132455,0.00119232,9.64261e-05
1.15451,0.00132692,0.00132538,0.00119307,9.64101e-05
1.166,0.00132777,0.00132621,0.00119383,9.63944e-05
